;city;IVS (2010);IDHM;populacao_estimada_2020;city_ibge_code;cases_media_apr;deaths_media_apr;cases_media_ago;deaths_media_ago;cases_media_dec;deaths_media_dec
153;Diadema;0.308;0.757;404938.75620231;3513801;2.411887357550725;0.15640225185482515;14.27535663788693;0.39034178306722067;11.949238257159818;0.3664433065529011
154;Dirce Reis;0.168;0.741;1718.8291505700001;3513850;;;18.76746418073697;0.0;15.013971344589576;0.0
155;Divinolândia;0.255;0.734;10874.45846;3513900;;;9.492500875451677;0.2966406523578649;10.382422832525274;0.2966406523578649
156;Dobrada;0.22;0.718;8913.244017600002;3514007;1.6027513952839008;0.0;11.219259766987307;0.0;5.42867408080031;0.0
157;Dois Córregos;0.234;0.725;26989.560152939997;3514106;;;13.7448605991852;0.0;10.99588847934816;0.0
158;Dolcinópolis;0.23;0.742;2039.9395517899998;3514205;;;28.463841528089397;0.0;4.743973588014899;0.0
159;Dourado;0.266;0.738;8480.501138500002;3514304;;;8.74872217754573;0.0;7.987963727324362;1.1411376753320517
160;Dracena;0.145;0.776;45052.267104;3514403;0.5357761681284993;0.1530789051795712;17.542348730658926;0.5728113871235567;15.680711722507366;0.14320284678088918
161;Duartina;0.23;0.748;11975.72104399;3514502;0.5566818600882762;0.0;27.474943417260082;0.2693621903652949;3.771070665114129;0.0
162;Dumont;0.224;0.744;9631.13064225;3514601;;;41.86692315051105;0.6698707704081768;41.531987765306965;0.0
163;Echaporã;0.252;0.745;6213.81901915;3514700;;;1.557402834716371;0.0;24.399311077223146;0.0
164;Eldorado;0.338;0.691;15192.817152;3514809;0.5983688870837464;0.2991844435418732;24.62963548125355;0.21232444380390994;35.03353322764514;0.21232444380390994
165;Elias Fausto;0.227;0.695;17376.89274368;3514908;0.523160798941771;0.0;37.87009138146239;1.113826217101835;9.28188514251529;0.18563770285030579
166;Elisiário;0.154;0.747;3508.6844589200005;3514924;;;50.565776693787015;1.8387555161377096;20.22631067751481;0.0
167;Embaúba;0.285;0.73;2406.11006724;3514957;;;21.45076566884181;0.0;5.362691417210453;0.0
168;Embu das Artes;0.334;0.735;264469.35092332;3515004;1.4116317525261264;0.15124625919922782;10.587238143945948;0.219551021418234;5.513170093391208;0.20735374245055427
169;Embu-Guaçu;0.335;0.749;68096.18980931999;3515103;1.6447322576140837;0.17622131331579466;17.053675482173674;0.5210845286219735;15.253565292388677;0.5210845286219735
170;Emilianópolis;0.322;0.726;3072.80944128;3515129;;;7.348534164840433;0.0;25.194974279452914;1.0497905949772046
171;Engenheiro Coelho;0.284;0.732;20722.383675000005;3515152;4.136314000290109;0.0;39.38393599200959;0.6226709247748551;4.670031935811414;0.0
172;Espírito Santo do Pinhal;0.156;0.786;42596.983900160005;3515186;0.29344800630246143;0.0;27.413723427481557;0.8330136953102131;13.176762089452462;0.1514570355109478
173;Espírito Santo do Turvo;0.228;0.695;4802.85703125;3515194;;;11.417935058363987;0.0;2.0149297161818804;0.0
174;Estiva Gerbi;0.162;0.74;11095.627700000001;3557303;0.45062795320718985;0.0;6.396009658424631;0.0;7.558920505410927;0.5814554234931482
175;Estrela do Norte;0.277;0.74;2662.5968394899996;3515301;;;15.749843629725095;0.0;12.115264330557764;0.0
176;Estrela d'Oeste;0.149;0.759;8096.282713240001;3515202;1.7644781922390866;0.0;38.64776427517225;1.195291678613575;17.929375179203625;0.3984305595378583
177;Euclides da Cunha Paulista;0.392;0.704;9511.57582828;3515350;;;5.42632515974377;0.0;1.3565812899359424;0.3391453224839856
178;Fartura;0.175;0.732;15635.4626637;3515400;2.5582869442594633;0.0;6.189403897401927;0.0;55.91094853986408;0.0
179;Fernando Prestes;0.187;0.759;5574.796527829999;3515608;;;19.673797744422945;0.0;10.415539982341562;0.0
180;Fernandópolis;0.158;0.797;66177.22169307999;3515509;0.9444337250944986;0.0;37.67985907086696;0.584939597477883;34.706416117021064;0.4874496645649025
181;Fernão;0.263;0.703;1648.6623599600002;3515657;;;0.0;0.0;41.08902897832551;0.0
182;Ferraz de Vasconcelos;0.318;0.738;193298.70324235;3515707;1.6209800069920222;0.10346680895693759;15.052751883735114;0.40051667983330685;4.53918903811081;0.13350555994443558
183;Flora Rica;0.322;0.727;1583.18128615;3515806;;;20.375471083652457;0.0;71.31414879278361;2.0375471083652457
184;Floreal;0.139;0.747;2854.65821284;3515905;;;11.300149478853584;0.0;7.910104635197509;0.0
185;Flórida Paulista;0.296;0.716;12109.75937001;3516002;;;2.6638072260970445;0.0;5.8603758974134985;0.2663807226097044
186;Florínea;0.242;0.713;2697.0151975199997;3516101;;;7.415605228472833;0.0;7.176392156586613;0.0
187;Franca;0.187;0.78;342618.9355379201;3516200;0.2012892753084466;0.020128927530844658;16.69304946537806;0.34836031033219866;6.835394197329087;0.16005743988236154
188;Francisco Morato;0.367;0.703;174401.39729381;3516309;1.6015373108338031;0.13840445896094597;12.078180826467438;0.7953472826004591;10.487486261266518;0.1294751390279817
189;Franco da Rocha;0.34;0.731;152542.97511903997;3516408;2.797025994371152;0.28407295255332016;12.540093860852519;0.19032182925408547;6.048004796296493;0.10573434958560302
190;Gabriel Monteiro;0.139;0.763;2687.15658052;3516507;;;9.603627790052093;2.400906947513023;8.403174316295582;0.0
191;Gália;0.278;0.709;6540.468975809999;3516606;;;9.370936978269928;0.0;25.153567678514015;0.4932072093826277
192;Garça;0.188;0.77;42469.30484325001;3516705;0.6540671640447802;0.0;31.521817518803275;0.9114742415075646;14.735500237705626;0.15191237358459408
193;Gastão Vidigal;0.266;0.722;4786.997189040001;3516804;;;4.043210794857162;1.3477369316190537;0.6738684658095269;0.0
194;Gavião Peixoto;0.233;0.72;4611.40373628;3516853;;;80.44573044362019;0.6995280908140885;25.882539360121278;0.0
195;General Salgado;0.244;0.747;10658.73522652;3516903;;;18.158663573442226;0.0;23.606262645474892;0.3026443928907037
196;Getulina;0.214;0.717;10844.330129279999;3517000;;;18.44281736314854;0.0;14.57577501281094;0.0
197;Glicério;0.156;0.735;4751.787424;3517109;;;16.292680612706988;0.0;69.92275429620082;3.394308460980622
198;Guaiçara;0.174;0.739;11791.771168000001;3517208;;;63.19333030688105;0.5471284009253771;6.018412410179148;0.8206926013880657
199;Guaimbê;0.239;0.728;5529.050028;3517307;;;12.835431326555522;0.0;7.5845730566009895;0.0
200;Guaíra;0.207;0.753;39662.744803500005;3517406;0.72035933753398;0.0;34.56562950263856;0.8133089294738484;9.92236893958095;0.24399267884215453
201;Guapiaçu;0.24;0.725;20762.422749250003;3517505;;;63.2345869103295;0.6214701416248599;10.87572747843505;0.46610260621864497
202;Guapiara;0.361;0.675;18302.440379090003;3517604;;;6.873752844272799;0.17625007293007175;28.20001166881148;0.5287502187902153
203;Guará;0.356;0.718;20820.446330879997;3517703;1.6009903343856156;1.6009903343856156;30.367171503830388;0.15493454848893054;6.352316488046153;0.0
204;Guaraçaí;0.214;0.719;8505.064488959999;3517802;;;8.723455122933368;0.0;18.964032875942106;0.0
205;Guaraci;0.269;0.736;10991.16578429;3517901;;;40.20824474348655;0.2934908375436975;7.6307617761361355;0.586981675087395
206;Guarani d'Oeste;0.238;0.732;1922.3520750000002;3518008;;;28.5268814129271;0.0;10.068311086915449;0.0
